disease	n_genes	degree_mean	betweenness_mean	clustering_mean	n_modules
CMD	303	11.333333333333334	370.47854785478546	0.4048686075123855	35
CM	2167	38.687586525149975	1873.625749884633	0.29733760604414283	26
