disease	network_kind	n_nodes	n_edges	density	avg_degree	median_degree	transitivity	n_components	giant_size	giant_fraction
CM	functional	2162	41426	0.017733421630870348	38.32192414431082	30	0.2679545057826121	1	2162	1
CM	physical	1617	6328	0.004843341477004843	7.8268398268398265	5	0.4421035350771588	44	1506	0.9313543599257885
