disease	network_kind	n_nodes	n_edges	density	avg_degree	median_degree	transitivity	n_components	giant_size	giant_fraction
CMD	functional	303	1717	0.03752759381898455	11.333333333333334	6	0.572366297212956	2	301	0.9933993399339934
CMD	physical	160	309	0.024292452830188677	3.8625	3	0.6619638826185101	23	84	0.525
