from_gene	to_gene	combined_score
TUBB3	KIF21A	808
TUBB4B	KIF21A	418
DYNC1H1	KIF21A	437
ATP2B3	GRM1	446
DPYSL5	GRM1	539
ITPR1	GRM1	867
CNTNAP2	GRM1	591
CEP120	KIAA0753	498
PIBF1	KIAA0753	755
OFD1	KIAA0753	910
KIAA0586	KIAA0753	492
TRIP13	TSEN15	576
TSEN2	TSEN15	998
GTPBP2	TSEN15	424
TSEN54	TSEN15	999
FKTN	B3GALNT2	833
RXYLT1	B3GALNT2	897
POMT2	B3GALNT2	846
GMPPB	B3GALNT2	825
B4GAT1	B3GALNT2	853
FKRP	B3GALNT2	839
POMK	B3GALNT2	993
POMGNT2	B3GALNT2	996
LARGE1	B3GALNT2	661
TRIP13	CENPF	844
CEP164	CENPF	582
BUB1B	CENPF	997
BUB1	CENPF	998
ESCO2	CENPF	574
KNL1	CENPF	864
BICD2	CENPF	834
CRX	RD3	596
TULP1	RD3	734
KCNJ13	RD3	501
GUCY2D	RD3	916
RPE65	RD3	686
IQCB1	RD3	676
LRAT	RD3	634
IMPDH1	RD3	649
TUBB	SYT2	433
DOK7	SYT2	459
TRIP13	KIF14	868
BUB1B	KIF14	878
BUB1	KIF14	902
ESCO2	KIF14	427
KNL1	KIF14	659
RAC1	KIF14	622
BICD2	KIF14	424
CENPF	KIF14	926
CRX	CRB1	754
TULP1	CRB1	816
KCNJ13	CRB1	461
GUCY2D	CRB1	827
RPE65	CRB1	811
IQCB1	CRB1	610
LRAT	CRB1	717
IMPDH1	CRB1	688
TOPORS	CRB1	471
RD3	CRB1	703
CEP41	AHI1	642
TULP1	AHI1	400
B9D2	AHI1	955
TMEM231	AHI1	930
IFT172	AHI1	548
ARL3	AHI1	466
B9D1	AHI1	966
KATNIP	AHI1	474
CSPP1	AHI1	707
TMEM138	AHI1	622
CEP164	AHI1	531
PDE6D	AHI1	587
TCTN2	AHI1	945
IQCB1	AHI1	723
NPHP1	AHI1	977
TMEM107	AHI1	824
C2CD3	AHI1	468
NPHP3	AHI1	761
OFD1	AHI1	702
KIAA0586	AHI1	531
TRIP13	BUB3	798
BUB1B	BUB3	999
TUBA1A	BUB3	480
BUB1	BUB3	999
CEP57	BUB3	419
KNL1	BUB3	992
ATR	BUB3	478
DYNC1H1	BUB3	430
HNRNPH1	BUB3	458
CENPF	BUB3	611
KIF14	BUB3	494
USP45	PRDM13	421
ASNS	PHGDH	823
WARS2	PHGDH	645
GOT2	PHGDH	768
KPNA3	PHGDH	651
PRKDC	PHGDH	411
RAP1B	NRAS	670
VPS4A	NRAS	533
KRAS	NRAS	984
ARID1A	NRAS	438
ARID2	NRAS	497
PLCH1	NRAS	430
RAC1	NRAS	935
TRIP13	RARS2	529
WARS2	RARS2	839
POLR1A	RARS2	566
TSEN2	RARS2	797
TSEN54	RARS2	859
TSEN15	RARS2	453
IFT172	SUFU	981
SMARCB1	SUFU	459
EVC	SUFU	955
EVC2	SUFU	952
OFD1	SUFU	911
KIAA0586	SUFU	401
LAMB1	L1CAM	637
DPH2	DPH5	982
DPH1	DPH5	984
USP45	DPH5	417
FIG4	MTM1	967
PI4KA	MTM1	767
DOK7	MTM1	400
BMP4	GPC4	527
LARGE1	GPC4	474
RBM10	RNF113A	477
GOT2	CPT2	469
FIG4	INPP5E	530
PI4KA	INPP5E	763
ARL3	INPP5E	515
CEP164	INPP5E	570
PDE6D	INPP5E	930
PLCH1	INPP5E	826
AHI1	INPP5E	463
FIG4	PTEN	459
GOT2	PTEN	564
BMP4	PTEN	431
MAST1	PTEN	643
H3-3A	PTEN	441
PI4KA	PTEN	928
KRAS	PTEN	921
SMARCB1	PTEN	570
CSF1R	PTEN	473
ITPR1	PTEN	741
PRKDC	PTEN	498
TUBB3	PTEN	513
ARID1A	PTEN	774
MRE11	PTEN	816
EIF4A2	PTEN	430
ARID2	PTEN	479
ARID1B	PTEN	582
PLCH1	PTEN	662
RAC1	PTEN	507
NRAS	PTEN	841
INPP5E	PTEN	918
FKTN	POMGNT1	974
RXYLT1	POMGNT1	924
POMT2	POMGNT1	995
GMPPB	POMGNT1	793
B4GAT1	POMGNT1	780
FKRP	POMGNT1	899
POMK	POMGNT1	890
POMGNT2	POMGNT1	989
LARGE1	POMGNT1	714
B3GALNT2	POMGNT1	883
FKTN	POMT1	956
RXYLT1	POMT1	891
POMT2	POMT1	905
GMPPB	POMT1	840
B4GAT1	POMT1	812
FKRP	POMT1	915
POMK	POMT1	918
POMGNT2	POMT1	993
LARGE1	POMT1	727
B3GALNT2	POMT1	886
POMGNT1	POMT1	995
POLR1A	POLR3A	986
IFT172	DYNC2I2	882
CSPP1	DYNC2I2	521
EVC	DYNC2I2	552
CEP120	DYNC2I2	633
IFT80	DYNC2I2	871
WDR35	DYNC2I2	894
EVC2	DYNC2I2	615
OFD1	DYNC2I2	458
KIAA0586	DYNC2I2	613
DYNC1H1	DYNC2I2	901
CNTNAP2	SRPX2	560
SYT2	SLC18A3	583
RAPSN	MUSK	999
DOK7	MUSK	997
RAC1	MUSK	914
CNTNAP2	MUSK	454
SYT2	MUSK	426
MTM1	MUSK	542
THOC2	HNRNPR	535
TAF4	HNRNPR	424
CCDC32	HNRNPR	447
HNRNPH1	HNRNPR	996
KRAS	ASXL1	520
ASXL3	ASXL1	683
ARID1A	ASXL1	435
ARID2	ASXL1	420
NRAS	ASXL1	738
MPL	ASXL1	517
LAMB1	COL4A1	755
BMP4	COL4A1	586
VPS35L	CCDC22	981
VPS51	CCDC22	513
WASHC5	CCDC22	645
KRAS	PTF1A	558
PRDM13	PTF1A	515
ASNS	PSAT1	821
GOT2	PSAT1	446
RAC1	PSAT1	516
PHGDH	PSAT1	999
CRX	NMNAT1	405
TULP1	NMNAT1	533
KCNJ13	NMNAT1	459
GUCY2D	NMNAT1	569
RPE65	NMNAT1	474
PCYT1A	NMNAT1	505
IQCB1	NMNAT1	566
LRAT	NMNAT1	414
RERE	NMNAT1	437
IMPDH1	NMNAT1	479
RD3	NMNAT1	500
CRB1	NMNAT1	527
POLR1A	NSUN6	758
POLR3A	NSUN6	451
TMEM231	CEP104	410
B9D1	CEP104	456
KATNIP	CEP104	685
CSPP1	CEP104	692
TMEM138	CEP104	465
CEP164	CEP104	516
PDE6D	CEP104	497
C2CD3	CEP104	412
OFD1	CEP104	489
KIAA0586	CEP104	421
TOGARAM1	CEP104	439
AHI1	CEP104	449
KRAS	BCOR	418
ARID1A	BCOR	511
NRAS	BCOR	506
ASXL1	BCOR	720
BMP4	TFAP2A	597
ZIC1	TFAP2A	605
COG8	B4GALT1	451
POMGNT1	B4GALT1	925
BMP4	MAB21L1	412
BUB3	MAB21L1	541
CEP41	RPGRIP1L	595
TULP1	RPGRIP1L	434
B9D2	RPGRIP1L	814
GUCY2D	RPGRIP1L	434
TMEM231	RPGRIP1L	877
IFT172	RPGRIP1L	651
ARL3	RPGRIP1L	595
B9D1	RPGRIP1L	865
CSPP1	RPGRIP1L	809
EVC	RPGRIP1L	503
TMEM138	RPGRIP1L	742
CEP164	RPGRIP1L	607
PDE6D	RPGRIP1L	536
TCTN2	RPGRIP1L	827
IQCB1	RPGRIP1L	841
IFT80	RPGRIP1L	513
NPHP1	RPGRIP1L	988
TMEM107	RPGRIP1L	689
WDR35	RPGRIP1L	414
C2CD3	RPGRIP1L	528
LRAT	RPGRIP1L	433
NPHP3	RPGRIP1L	835
EVC2	RPGRIP1L	418
OFD1	RPGRIP1L	715
KIAA0586	RPGRIP1L	543
AHI1	RPGRIP1L	929
SUFU	RPGRIP1L	923
CEP104	RPGRIP1L	410
VPS4A	TUBB2A	655
TUBB2B	TUBB2A	902
TUBA1A	TUBB2A	998
NPHP1	TUBB2A	515
NPHP3	TUBB2A	447
TUBB	TUBB2A	880
TUBB4B	TUBB2A	881
DYNC1H1	TUBB2A	878
ARHGEF2	TUBB2A	803
KIF21A	TUBB2A	500
SYT2	TUBB2A	434
BMP4	FOXC1	526
ZIC1	FOXC1	423
MEF2C	FOXC1	437
TFAP2A	FOXC1	490
CRX	AIPL1	812
TULP1	AIPL1	825
KCNJ13	AIPL1	491
GUCY2D	AIPL1	874
RPE65	AIPL1	808
IQCB1	AIPL1	667
NPHP1	AIPL1	430
LRAT	AIPL1	710
IMPDH1	AIPL1	689
TOPORS	AIPL1	457
RD3	AIPL1	720
CRB1	AIPL1	847
NMNAT1	AIPL1	591
RPGRIP1L	AIPL1	436
TUBA1A	VLDLR	479
TRIP13	SEPSECS	435
TSEN2	SEPSECS	590
TSEN54	SEPSECS	561
RARS2	SEPSECS	484
TBC1D24	SACS	476
KCNQ1	GJB2	515
GJB6	GJB2	661
EXOC2	TRAPPC9	453
RAB11B	TRAPPC9	773
LAMB1	LAMA1	953
RAPSN	LAMA1	900
RAC1	LAMA1	904
L1CAM	LAMA1	608
COL4A1	LAMA1	564
TRIP13	EXOSC8	401
CRX	LCA5	681
TULP1	LCA5	772
KCNJ13	LCA5	501
B9D2	LCA5	530
GUCY2D	LCA5	740
RPE65	LCA5	690
CEP164	LCA5	589
IQCB1	LCA5	720
NPHP1	LCA5	548
LRAT	LCA5	686
NPHP3	LCA5	408
OFD1	LCA5	898
IMPDH1	LCA5	690
TOPORS	LCA5	500
RD3	LCA5	802
CRB1	LCA5	757
AHI1	LCA5	479
NMNAT1	LCA5	544
RPGRIP1L	LCA5	572
AIPL1	LCA5	783
CEP41	MKS1	561
B9D2	MKS1	933
TMEM231	MKS1	957
IFT172	MKS1	617
ARL3	MKS1	454
B9D1	MKS1	945
CSPP1	MKS1	741
TMEM138	MKS1	685
CEP164	MKS1	586
PDE6D	MKS1	433
CEP120	MKS1	411
TCTN2	MKS1	957
IQCB1	MKS1	680
IFT80	MKS1	536
NPHP1	MKS1	878
TMEM107	MKS1	920
WDR35	MKS1	463
C2CD3	MKS1	517
NPHP3	MKS1	756
OFD1	MKS1	757
KIAA0586	MKS1	552
AHI1	MKS1	952
SUFU	MKS1	908
CEP104	MKS1	414
RPGRIP1L	MKS1	798
LCA5	MKS1	464
CRX	SPATA7	654
TULP1	SPATA7	785
KCNJ13	SPATA7	511
GUCY2D	SPATA7	703
RPE65	SPATA7	693
IQCB1	SPATA7	734
NPHP1	SPATA7	492
PIBF1	SPATA7	423
LRAT	SPATA7	725
IMPDH1	SPATA7	706
TOPORS	SPATA7	478
RD3	SPATA7	793
CRB1	SPATA7	752
AHI1	SPATA7	706
NMNAT1	SPATA7	566
RPGRIP1L	SPATA7	569
AIPL1	SPATA7	756
LCA5	SPATA7	822
CEP41	ARL13B	640
EXOC2	ARL13B	611
B9D2	ARL13B	618
TMEM231	ARL13B	652
IFT172	ARL13B	738
B9D1	ARL13B	712
KATNIP	ARL13B	560
CSPP1	ARL13B	616
EVC	ARL13B	404
TMEM138	ARL13B	636
CEP164	ARL13B	817
PDE6D	ARL13B	981
CEP120	ARL13B	517
TCTN2	ARL13B	692
IQCB1	ARL13B	526
IFT80	ARL13B	574
NPHP1	ARL13B	786
WDR35	ARL13B	533
C2CD3	ARL13B	592
NPHP3	ARL13B	700
EVC2	ARL13B	484
OFD1	ARL13B	662
KIAA0586	ARL13B	484
DYNC1H1	ARL13B	667
TXNDC15	ARL13B	411
AHI1	ARL13B	808
SUFU	ARL13B	496
INPP5E	ARL13B	926
RPGRIP1L	ARL13B	814
MKS1	ARL13B	688
BMP4	GPC3	683
GPC4	GPC3	647
ARID1A	FAT4	473
CEP41	KIF7	609
B9D2	KIF7	459
TMEM231	KIF7	562
TUBB2B	KIF7	832
IFT172	KIF7	578
B9D1	KIF7	518
KATNIP	KIF7	562
CSPP1	KIF7	519
TMEM138	KIF7	612
CEP164	KIF7	548
BUB1B	KIF7	571
TUBA1A	KIF7	833
BUB1	KIF7	473
TCTN2	KIF7	595
NPHP1	KIF7	594
C2CD3	KIF7	461
NPHP3	KIF7	433
EVC2	KIF7	421
OFD1	KIF7	615
KIAA0586	KIF7	469
AHI1	KIF7	625
SUFU	KIF7	980
CEP104	KIF7	500
RPGRIP1L	KIF7	603
MKS1	KIF7	494
ARL13B	KIF7	627
MYOD1	SMARCD1	416
H3-3A	SMARCD1	822
SMARCB1	SMARCD1	999
SMARCC2	SMARCD1	999
ARID1A	SMARCD1	999
SMARCE1	SMARCD1	999
ARID2	SMARCD1	996
ARID1B	SMARCD1	997
CPSF3	PPP1CB	930
SMARCB1	PPP1CB	589
ITPR1	PPP1CB	435
RAC1	PPP1CB	708
DYNC1H1	PPP1CB	425
KIF14	PPP1CB	408
BMP4	GLI3	668
IFT172	GLI3	954
ARL3	GLI3	427
EVC	GLI3	950
ZIC1	GLI3	439
PDE6D	GLI3	454
ALX4	GLI3	707
EVC2	GLI3	942
OFD1	GLI3	935
KIAA0586	GLI3	753
SUFU	GLI3	999
RPGRIP1L	GLI3	948
MKS1	GLI3	922
ARL13B	GLI3	639
KIF7	GLI3	962
ASNS	PAFAH1B1	423
FKTN	PAFAH1B1	402
TUBB2B	PAFAH1B1	655
BUB1B	PAFAH1B1	753
TUBA1A	PAFAH1B1	819
BUB1	PAFAH1B1	815
CEP120	PAFAH1B1	478
TUBB3	PAFAH1B1	519
OFD1	PAFAH1B1	700
RAC1	PAFAH1B1	930
DYNC1H1	PAFAH1B1	999
BICD2	PAFAH1B1	958
RAB3GAP2	PAFAH1B1	699
CENPF	PAFAH1B1	850
BUB3	PAFAH1B1	869
DYNC2I2	PAFAH1B1	433
TUBB2A	PAFAH1B1	428
VLDLR	PAFAH1B1	977
CEP41	TCTN1	648
B9D2	TCTN1	989
TMEM231	TCTN1	956
IFT172	TCTN1	404
B9D1	TCTN1	977
CSPP1	TCTN1	622
TMEM138	TCTN1	735
CEP164	TCTN1	598
PDE6D	TCTN1	535
TCTN2	TCTN1	915
IQCB1	TCTN1	615
NPHP1	TCTN1	835
TMEM107	TCTN1	863
C2CD3	TCTN1	501
NPHP3	TCTN1	552
OFD1	TCTN1	619
KIAA0586	TCTN1	465
AHI1	TCTN1	955
CEP104	TCTN1	428
RPGRIP1L	TCTN1	791
MKS1	TCTN1	979
ARL13B	TCTN1	702
KIF7	TCTN1	602
PMM2	ALG3	627
POMT1	ALG3	407
TUBB2B	DYNC2H1	695
IFT172	DYNC2H1	966
EVC	DYNC2H1	628
TUBA1A	DYNC2H1	691
CEP120	DYNC2H1	561
IFT80	DYNC2H1	979
WDR35	DYNC2H1	921
TUBB3	DYNC2H1	695
TUBB	DYNC2H1	695
TUBB4B	DYNC2H1	695
EVC2	DYNC2H1	607
OFD1	DYNC2H1	451
KIAA0586	DYNC2H1	572
DYNC1H1	DYNC2H1	883
BICD2	DYNC2H1	443
KIF14	DYNC2H1	456
SUFU	DYNC2H1	935
DYNC2I2	DYNC2H1	993
RPGRIP1L	DYNC2H1	462
TUBB2A	DYNC2H1	698
ARL13B	DYNC2H1	545
KIF7	DYNC2H1	501
GLI3	DYNC2H1	945
PAFAH1B1	DYNC2H1	602
THOC2	DDX3X	475
USP9X	DDX3X	851
EIF4A2	DDX3X	740
ATR	DDX3X	438
OFD1	DDX3X	465
IMPDH1	DDX3X	728
HNRNPH1	DDX3X	676
NRAS	DDX3X	456
HNRNPR	DDX3X	668
BCOR	DDX3X	498
CRX	RPGRIP1	561
TULP1	RPGRIP1	606
GUCY2D	RPGRIP1	661
RPE65	RPGRIP1	632
PDE6D	RPGRIP1	457
TCTN2	RPGRIP1	435
IQCB1	RPGRIP1	711
NPHP1	RPGRIP1	575
TMEM107	RPGRIP1	705
LRAT	RPGRIP1	556
